wellnum,wellName,DMSO,x0,strain,ageDpf,nFish,minutesIncubation
1,A01,DMSO,0,SingWT,7,8,70
2,A02,DMSO,0,SingWT,7,8,70
3,A03,DMSO,0,SingWT,7,8,70
4,A04,DMSO,0,SingWT,7,8,70
5,A05,DMSO,0,SingWT,7,8,70
6,A06,DMSO,0,SingWT,7,8,70
7,A07,DMSO,0,SingWT,7,8,70
8,A08,DMSO,0,SingWT,7,8,70
9,A09,DMSO,0,SingWT,7,8,70
10,A10,DMSO,0,SingWT,7,8,70
11,A11,DMSO,0,SingWT,7,8,70
12,A12,DMSO,0,SingWT,7,8,70
13,B01,DMSO,0,SingWT,7,8,70
14,B02,DMSO,0,SingWT,7,8,70
15,B03,DMSO,0,SingWT,7,8,70
16,B04,DMSO,0,SingWT,7,8,70
17,B05,DMSO,0,SingWT,7,8,70
18,B06,DMSO,0,SingWT,7,8,70
19,B07,DMSO,0,SingWT,7,8,70
20,B08,DMSO,0,SingWT,7,8,70
21,B09,DMSO,0,SingWT,7,8,70
22,B10,DMSO,0,SingWT,7,8,70
23,B11,DMSO,0,SingWT,7,8,70
24,B12,DMSO,0,SingWT,7,8,70
25,C01,DMSO,0,SingWT,7,8,70
26,C02,DMSO,0,SingWT,7,8,70
27,C03,DMSO,0,SingWT,7,8,70
28,C04,DMSO,0,SingWT,7,8,70
29,C05,DMSO,0,SingWT,7,8,70
30,C06,DMSO,0,SingWT,7,8,70
31,C07,DMSO,0,SingWT,7,8,70
32,C08,DMSO,0,SingWT,7,8,70
33,C09,DMSO,0,SingWT,7,8,70
34,C10,DMSO,0,SingWT,7,8,70
35,C11,DMSO,0,SingWT,7,8,70
36,C12,DMSO,0,SingWT,7,8,70
37,D01,DMSO,0,SingWT,7,8,70
38,D02,DMSO,0,SingWT,7,8,70
39,D03,DMSO,0,SingWT,7,8,70
40,D04,DMSO,0,SingWT,7,8,70
41,D05,DMSO,0,SingWT,7,8,70
42,D06,DMSO,0,SingWT,7,8,70
43,D07,DMSO,0,SingWT,7,8,70
44,D08,DMSO,0,SingWT,7,8,70
45,D09,DMSO,0,SingWT,7,8,70
46,D10,DMSO,0,SingWT,7,8,70
47,D11,DMSO,0,SingWT,7,8,70
48,D12,DMSO,0,SingWT,7,8,70
49,E01,Haloperidol,25,SingWT,7,8,70
50,E02,Haloperidol,25,SingWT,7,8,70
51,E03,Haloperidol,25,SingWT,7,8,70
52,E04,Haloperidol,25,SingWT,7,8,70
53,E05,Haloperidol,25,SingWT,7,8,70
54,E06,Haloperidol,25,SingWT,7,8,70
55,E07,Haloperidol,25,SingWT,7,8,70
56,E08,Haloperidol,25,SingWT,7,8,70
57,E09,Haloperidol,25,SingWT,7,8,70
58,E10,Haloperidol,25,SingWT,7,8,70
59,E11,Haloperidol,25,SingWT,7,8,70
60,E12,Haloperidol,25,SingWT,7,8,70
61,F01,Haloperidol,25,SingWT,7,8,70
62,F02,Haloperidol,25,SingWT,7,8,70
63,F03,Haloperidol,25,SingWT,7,8,70
64,F04,Haloperidol,25,SingWT,7,8,70
65,F05,Haloperidol,25,SingWT,7,8,70
66,F06,Haloperidol,25,SingWT,7,8,70
67,F07,Haloperidol,25,SingWT,7,8,70
68,F08,Haloperidol,25,SingWT,7,8,70
69,F09,Haloperidol,25,SingWT,7,8,70
70,F10,Haloperidol,25,SingWT,7,8,70
71,F11,Haloperidol,25,SingWT,7,8,70
72,F12,Haloperidol,25,SingWT,7,8,70
73,G01,Haloperidol,25,SingWT,7,8,70
74,G02,Haloperidol,25,SingWT,7,8,70
75,G03,Haloperidol,25,SingWT,7,8,70
76,G04,Haloperidol,25,SingWT,7,8,70
77,G05,Haloperidol,25,SingWT,7,8,70
78,G06,Haloperidol,25,SingWT,7,8,70
79,G07,Haloperidol,25,SingWT,7,8,70
80,G08,Haloperidol,25,SingWT,7,8,70
81,G09,Haloperidol,25,SingWT,7,8,70
82,G10,Haloperidol,25,SingWT,7,8,70
83,G11,Haloperidol,25,SingWT,7,8,70
84,G12,Haloperidol,25,SingWT,7,8,70
85,H01,Haloperidol,25,SingWT,7,8,70
86,H02,Haloperidol,25,SingWT,7,8,70
87,H03,Haloperidol,25,SingWT,7,8,70
88,H04,Haloperidol,25,SingWT,7,8,70
89,H05,Haloperidol,25,SingWT,7,8,70
90,H06,Haloperidol,25,SingWT,7,8,70
91,H07,Haloperidol,25,SingWT,7,8,70
92,H08,Haloperidol,25,SingWT,7,8,70
93,H09,Haloperidol,25,SingWT,7,8,70
94,H10,Haloperidol,25,SingWT,7,8,70
95,H11,Haloperidol,25,SingWT,7,8,70
96,H12,Haloperidol,25,SingWT,7,8,70
